Population,Ontogeny,PPG b_mean,PPG b_sd,PPG c_mean,PPG c_sd,PPG d_mean,PPG d_sd,PPG e_mean,PPG e_sd,PPG f_mean,PPG f_sd,PPG g_mean,PPG g_sd,PPG h_mean,PPG h_sd,Calc A_mean,Calc A_sd,Conand_mean,Conand_sd,Verb_mean,Verb_sd,Calc B_mean,Calc B_sd,Mimulo_mean,Mimulo_sd,Unkn 16_mean,Unkn 16_sd,Total PPGs_mean,Total PPGs_sd
CJC,early,0.010875,0.030759144981614816,0.08925,0.16451899586369959,0.10650000000000001,0.1923530979363584,0.014125,0.03995153313703994,0.028625,0.0809637264458597,0.704625,0.14785121623732808,3.9198749999999998,1.4312331783166172,19.30775,4.9940385818636654,8.32325,5.430319899811217,5.162375,0.8474307283110013,0.394875,0.09577568659559242,0.546125,0.1983837820992432,3.124625,1.6323998930146637,41.73225,11.674175709659332
CJC,late,0.09875,0.08531747434477552,0.10075,0.1424768151565119,0.131125,0.18215177149054262,0.009125,0.025809397513308983,0.02775,0.05138579570270368,0.3315,0.09826494797230598,4.173125,1.7488514955740035,18.475375,7.005331213491213,3.390625,1.645172065469141,1.718375,0.5862481038653466,0.476125,0.15079734508841422,0.394125,0.15823439891502733,1.957625,0.7378747353040351,31.284375,11.205594150595369
SRN,early,0.02875,0.05475856097451795,0.0105,0.029698484809835,0,0,0,0,0,0,0.987375,0.18789962175891375,9.237875,3.3000841304210935,22.908125,3.0615938163689465,21.920375,10.8336533336438,6.806875,0.9959134267452309,0.395375,0.0603062126626626,0.6975,0.15580849050769252,3.72875,0.9273673567069927,66.72175,12.052899482223001
SRN,late,0.063125,0.056316547936006975,0,0,0,0,0,0,0,0,0.474375,0.12895174900492265,12.479,4.994093025050408,21.586,2.7309188406625546,17.212625,8.290818121572803,1.703,0.7679797244347386,0.34325,0.05674441445136757,0.459625,0.1756570827330504,2.4045,0.40624552744790754,56.725375,10.300509376274276
TAB,early,0,0,0,0,0,0,0.008875,0.025102290732122435,0,0,0.47575,0.1383987510265692,0.5856250000000001,0.7739806083765001,10.776875,2.179908152554008,23.615625,4.907466146815773,4.79525,1.18675978433476,1.1715,0.17399425277864783,0.51725,0.38676524810646723,2.735875,1.2697056393961106,44.682875,7.204351808604494
TAB,late,0,0,0,0,0.0695,0.04553491595938848,0.026875,0.05073583546173257,0,0,0.361,0.0525520150490377,1.03425,1.4143302049279116,13.006125,1.975485505424643,15.816625,8.543383119408844,2.098625,0.6857902506285306,0.5515,0.49406766453883333,0.3895,0.1565192822443475,1.84225,0.7758913307563483,35.19625,9.794994432288943
