pop_name,ind,rep,Unkn 10,Calc A,Conand,Verb,Calc B,Mimulo,Unkn 16,Total PPGs,latitude,longitude,elevation_m,species,range
NAD,FM,2,9.487445918,26.964257500000002,13.826543184999998,1.898619527,0.356003613,1.517328102,2.0298823395,56.080080179999996,35.69522,-117.97068,1689,gutt,Sequoia
NAD,FN,1,9.249216390666666,48.373890370000005,4.731871688,3.985292429,0.3629581426666667,1.063990341,2.0674561976666666,69.83467555666667,35.69522,-117.97068,1689,gutt,Sequoia
NAD,FO,1,8.342669027,39.178090845,8.6272629655,3.4078398395,0.306995771,1.0276099495,0.9947648095000001,61.885233205000006,35.69522,-117.97068,1689,gutt,Sequoia
NAD,FP,1,16.093804495,18.34119661,31.2944999725,3.12086588125,0.3827890255,1.1036215872500001,3.376492453,73.7132700275,35.69522,-117.97068,1689,gutt,Sequoia
NAD,FQ,3,8.456406207333334,41.418774676666665,7.461173313333333,3.163187956333333,0.397467372,0.7976651069999999,1.0768609696666667,62.77153560666667,35.69522,-117.97068,1689,gutt,Sequoia
NAD,FR,1,13.749034479999999,30.252078445000002,20.36798925,4.4907674535,0.2302077545,2.346106675,2.154762619,73.590946675,35.69522,-117.97068,1689,gutt,Sequoia
NAD,FS,1,7.248529896333333,33.62529769,6.523619843666666,3.123354678666667,0.2762914363333333,0.9893886773333334,2.4134293666666666,54.19991159,35.69522,-117.97068,1689,gutt,Sequoia
NAD,FT,2,17.1255309,33.969143375,16.666470020000002,3.5515871455,0.2819122425,1.4621942364999998,1.955404094,75.012242015,35.69522,-117.97068,1689,gutt,Sequoia
YVO,IK,8,28.148386067666667,36.72663137666667,46.97655659666667,6.095638251333334,1.155056307,4.404698748666666,5.192826997666667,128.69979435333335,37.72337,-119.74643,1495,gutt,Sierra
YVO,IL,4,19.23087032333333,33.17596597,41.36018048333334,5.806563187,0.629760501,2.5283594583333335,2.901766453,105.63346638666667,37.72337,-119.74643,1495,gutt,Sierra
YVO,IM,3,19.888733565000003,31.86560935,10.791291143999999,4.5606178855,0.4625814955,1.262698512,3.3154729085,72.14700486000001,37.72337,-119.74643,1495,gutt,Sierra
YVO,IN,1,8.015758307999999,37.33148739,15.760041216,4.1756634542499995,0.67123045475,2.07223342,3.03312837475,71.05954262,37.72337,-119.74643,1495,gutt,Sierra
YVO,IO,2,3.6523684789999997,27.953270619999998,10.717489802,49.169771275,0.327718534,2.370969,2.5793859475,96.77097364,37.72337,-119.74643,1495,gutt,Sierra
YVO,IP,1,7.6077192636,35.698543642,84.25865854999999,7.6987018388,0.6233778856,7.1562336678,6.6873770998,149.73061194,37.72337,-119.74643,1495,gutt,Sierra
YVO,IQ,1,6.003543982,39.85910753,66.71177871333333,9.977532532,1.7209570263333334,3.1300250810000003,3.4701628773333333,130.87310773333334,37.72337,-119.74643,1495,gutt,Sierra
YVO,IR,1,2.8270150953333335,27.20277327333333,19.31928197,26.852655249999998,0.21414549166666666,3.0693130026666666,3.889483463,83.37466754333333,37.72337,-119.74643,1495,gutt,Sierra
YVO,IS,1,1.6549722836,21.972565998,33.31384308,41.451275016,0.8018826112,1.1517463656,2.4824625942000003,102.82874795800001,37.72337,-119.74643,1495,gutt,Sierra
HAC,CQ,1,0,24.675785910000002,56.882687725000004,6.1474901845000005,1.8102799745,1.5179634615,5.060294489,96.09450176,44.39445,-122.1178,1285,gutt,Willamette
HAC,CR,6,0,13.47418089,94.45015564,2.735736363,1.451573542,4.693795338,8.761339407,125.5667812,44.39445,-122.1178,1285,gutt,Willamette
HAC,CS,1,0.434051383,22.286312855,54.159627875,6.3103960945,0.6484335944999999,2.679617462,9.268165732,95.78660500000001,44.39445,-122.1178,1285,gutt,Willamette
HAC,CT,2,0,32.108505120000004,47.089454305000004,3.2999424065,0.830378544,1.561573879,7.806681291,92.69653554499999,44.39445,-122.1178,1285,gutt,Willamette
HAC,CW,1,0.054903869333333334,12.065688253333333,52.68535976333334,3.0104183979999997,0.896727155,2.6259577126666667,4.351324245333333,75.69037939666667,44.39445,-122.1178,1285,gutt,Willamette
HAC,CX,1,0,14.090706396666667,20.001523966666667,2.661751226333333,0.7029330316666667,0.7636759896666667,4.013125933666666,42.23371654666667,44.39445,-122.1178,1285,gutt,Willamette
